question_id,answer_id,programming_experience,answer_incorrect
M1,A1,none,1
M1,A2,advanced,1
M1,A3,advanced,1
M1,A3,intermediate,3
M1,A3,none,1
M1,A4,advanced,1
M1,A4,beginner,1
M1,A4,intermediate,3
M2,A1,advanced,1
M2,A1,beginner,1
M2,A1,intermediate,1
M2,A1,none,1
M2,A2,advanced,2
M2,A2,beginner,1
M2,A2,intermediate,2
M2,A2,none,1
M2,A3,advanced,1
M2,A4,beginner,2
M3,A1,advanced,1
M3,A1,intermediate,2
M3,A1,none,1
M3,A2,advanced,2
M3,A2,beginner,1
M3,A2,none,1
M3,A3,advanced,1
M3,A3,beginner,2
M3,A3,intermediate,1
M3,A3,none,1
M3,A4,advanced,2
M3,A4,beginner,1
M3,A4,intermediate,2
M3,A4,none,1
M4,A1,advanced,1
M4,A1,beginner,1
M4,A2,advanced,1
M4,A3,advanced,1
M4,A3,beginner,1
M4,A3,intermediate,3
M4,A3,none,1
M6,A2,advanced,3
M6,A2,intermediate,3
M6,A3,advanced,4
M6,A3,beginner,1
M6,A3,intermediate,2
M6,A4,beginner,1
M6,A4,intermediate,1
M7,A1,advanced,2
M7,A1,beginner,2
M7,A1,intermediate,1
M7,A2,advanced,3
M7,A2,beginner,1
M7,A2,intermediate,2
M7,A2,none,1
M7,A4,advanced,3
M7,A4,beginner,2
M7,A4,intermediate,2
M7,A4,none,1
M8,A1,advanced,1
M8,A2,advanced,1
M8,A3,advanced,1
M8,A3,beginner,1
M8,A3,intermediate,2
M8,A3,none,1
M8,A4,advanced,1
M9,A1,beginner,1
M9,A2,advanced,1
M9,A3,advanced,3
M9,A3,beginner,2
M9,A3,intermediate,3
M9,A4,advanced,2
M9,A4,beginner,1
M9,A4,intermediate,3
T1,A1,beginner,1
T1,A1,none,1
T1,A2,advanced,1
T1,A3,advanced,3
T1,A3,beginner,2
T1,A3,intermediate,3
T1,A4,none,1
T2,A1,advanced,3
T2,A1,beginner,1
T2,A1,intermediate,2
T2,A2,beginner,2
T2,A2,intermediate,1
T2,A3,advanced,1
T2,A3,beginner,1
T2,A3,intermediate,2
T2,A3,none,1
T2,A4,beginner,2
T3,A1,advanced,3
T3,A1,intermediate,3
T3,A2,beginner,1
T3,A3,advanced,3
T3,A3,beginner,1
T3,A3,intermediate,3
T3,A3,none,1
T3,A4,advanced,3
T3,A4,intermediate,3
